Date,Humidity,Wind Speed,Dew Point,Temperature,Pressure
26/12/2019,78.3,4.5,69.8,77.1,28.1
27/12/2019,77.5,3.6,69.9,77.6,28.1
28/12/2019,71.4,5.4,63.8,73.8,28.2
29/12/2019,72.6,4.6,64.5,74.4,28.2
30/12/2019,76.8,5.7,66.4,74.4,28.1
31/12/2019,87.2,6.1,68.7,72.6,28.2
1/3/2020,62.5,5.3,67.3,82.7,28.1
2/3/2020,58.9,4.6,67.3,84,28.1
3/3/2020,58.7,4.2,68.9,85.7,28.1
4/3/2020,46.2,6.9,61.8,86.5,28.1
5/3/2020,55.1,3.9,64.4,84.5,28
6/3/2020,60.8,5.4,67.6,83.2,28.1
7/3/2020,71.6,5.9,72.4,83.7,28.1
8/3/2020,75.2,6.4,73.7,83,28.1
9/3/2020,70.6,5.8,71.5,81.9,28.1
10/3/2020,68.7,28.5,71.8,83.7,28.1
11/3/2020,69.5,5.1,72.2,83.7,28.1
12/3/2020,75.2,5.7,74.1,83.3,28.1
13/3/2020,61.3,7.2,70.2,86.5,28.1
14/3/2020,63.6,5.2,69.9,84.7,28.1
15/3/2020,60.6,8.6,67.3,83.5,28.1
16/3/2020,62.9,7,69.5,84.4,28.1
17/3/2020,43,7.6,62.8,88.9,28.1
18/3/2020,45.2,4.6,64.2,89.7,28.1
19/3/2020,64.1,4.2,69.4,83.9,28.1
20/3/2020,56.6,4.5,69,87.4,28.1
21/3/2020,55.1,4.4,66.5,87.3,28.1
22/3/2020,57.3,4.2,67.9,86.9,28.1
23/3/2020,63.5,5.6,72.3,86.9,28.1
24/3/2020,57,5.8,68.4,84.5,28
25/3/2020,52.1,7.3,68,88.3,28
26/3/2020,51.5,5.8,66.5,87.2,28.1
27/3/2020,33.7,7.5,62.5,95.4,28.1
28/3/2020,32.9,7,62,95.3,28.1
29/3/2020,33.9,6.7,64.1,97,28
30/3/2020,41.5,5.1,65.8,92.6,28.1
31/3/2020,45.8,5.5,69.3,93,28.1
1/4/2020,62,3.9,72,92.6,28.1
2/4/2020,55,4.7,72,96.8,28.1
3/4/2020,58,4.5,70,90.3,28.1
4/4/2020,74,5.5,72,83.7,28.1
5/4/2020,66,4.3,73,90.8,28.1
6/4/2020,74,5.1,77,86.7,28.1
7/4/2020,49,5.5,72,96.1,28.1
8/4/2020,51,5.5,68,93.9,28.1
9/4/2020,89,8.1,75,89,28.1
10/4/2020,62,6.3,72,90,28.1
11/4/2020,62,4.9,72,82.8,28.2
12/4/2020,59,5.8,73,96.7,28.1
13/4/2020,40,5.6,64,96.5,28.1
14/4/2020,35,4.5,59,97.2,28.1
15/4/2020,36,5.5,61,98.5,28.1
16/4/2020,38,6,63,96.6,28
17/4/2020,62,6.3,70,95.3,28
18/4/2020,66,4.2,75,93.5,28
19/4/2020,70,8.4,75,89.8,28.1
20/4/2020,55,4.4,73,96.1,28.1
21/4/2020,52,6.5,70,97.2,28.1
22/4/2020,74,6,75,95.2,28
23/4/2020,53,5.4,75,98,28
24/4/2020,75,4.7,81,94.2,28
25/4/2020,52,11.4,70,97.7,28
26/4/2020,75,3.5,81,95.8,28.1
27/4/2020,66,5.3,77,95.3,28
28/4/2020,89,8.8,79,89.9,28
29/4/2020,59,4.7,73,94.8,28.1
30/4/2020,58,4.6,72,95.3,28
